"id";"creator";"collection";"resource_type";"conservation_institution";"contributor";"archival_reference";"Date";"extent";"ornamental_motif";"folio";"related_dataset_id";"incipit";"inscription";"source";"files";"note";"timel_nature_place";"timel_object_architecture";"timel_character";"timel_subject";"timel_thema";"place_geonames_id";"title"
"REG_00086";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée";"4V";"REG_00075|REG_00084|REG_00085";;;"genese";"reginenses/REG_00075.tif|reginenses/REG_00076.tif|reginenses/REG_00077.tif|reginenses/REG_00078.tif|reginenses/REG_00079.tif|reginenses/REG_00080.tif|reginenses/REG_00081.tif|reginenses/REG_00082.tif|reginenses/REG_00083.tif|reginenses/REG_00084.tif|reginenses/REG_00085.tif|reginenses/REG_00086.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-kancnlxz|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-bqscor5q|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-eqnskbnq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ssrd3vfj|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-gmnrb6ga|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-6dqqjsez|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-dzl7mvhj|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-cnqvpb9d|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-pfvwqfgm|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-2x7j3qqn|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-oo7jtili|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-twqkqw5b";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-havgveuu|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-jqfnbjvu|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-y48hqvsm|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-mqvexyu4";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-zuecdty7|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ge7kvbsg|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-hwbpfzqq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-f4sqsvcv|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-79hdsjl7|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-kkotaquv|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-msrzrwxs|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-msmpj5ea|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-vdencmrw";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-h7vxh9ju|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-d2hszvgk|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-hag9yvxm";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-er7b9xjh|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-vkxz23az|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-6m8nrco5|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-2ujduhzq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-zdcg2u42|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ze7ga7tc|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-3axmqq3f";2988507;"Biblia"
"REG_00089";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"25R";"REG_00088|REG_00087";;;"exode";"reginenses/REG_00087.tif|reginenses/REG_00088.tif|reginenses/REG_00089.tif";;;;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-duxo4cw7|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-pggyeffj";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-efvqujfg";2988507;"Biblia"
"REG_00092";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"56R";"REG_00091|REG_00090";;;"nombres";"reginenses/REG_00090.tif|reginenses/REG_00091.tif|reginenses/REG_00092.tif";;;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-havgveuu|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-2aruloqn";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-duxo4cw7|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-hwbpfzqq";;;2988507;"Biblia"
"REG_00095";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"73V";"REG_00094|REG_00093";;;"deuteronome";"reginenses/REG_00093.tif|reginenses/REG_00094.tif|reginenses/REG_00095.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-hvmbbgkw|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-yeqsgfda";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-2aruloqn";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-msrzrwxs|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-duxo4cw7";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-vcgik6xr";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-iv4xh9vr|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ao9wtg4s";2988507;"Biblia"
"REG_00097";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée";"90R";"REG_00096";;;"josue";"reginenses/REG_00096.tif|reginenses/REG_00097.tif";;;;;;;2988507;"Biblia"
"REG_00100";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Zoomorphe|Végétal";"101R";"REG_00099|REG_00098";;;"juges";"reginenses/REG_00098.tif|reginenses/REG_00099.tif|reginenses/REG_00100.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-wcfk7zjj";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ivsdfebq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-qpyshudm|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-havgveuu";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-wktqwi7w|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-pggyeffj|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-msrzrwxs|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-mqrh7emy|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-h5p48lfk";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-dojroj4q";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-cyrdqdmq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-raszqepq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ao9wtg4s";2988507;"Biblia"
"REG_00104";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"112V";"REG_00102|REG_00101|REG_00103";;;"livre de ruth";"reginenses/REG_00101.tif|reginenses/REG_00102.tif|reginenses/REG_00103.tif|reginenses/REG_00104.tif";;;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-cuqtzlfj";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ahxpgjb6|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-afqtpgfy";;;2988507;"Biblia"
"REG_00106";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";;"REG. LAT. 3";"1225/1275";"180X120";"Lettre ornée|Végétal";"114R";"REG_00105";;;;"reginenses/REG_00105.tif|reginenses/REG_00106.tif";;;;;;;2988507;"Biblia"
"REG_00109";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal|Zoomorphe";"115R";"REG_00108|REG_00107";;;"rois 1";"reginenses/REG_00107.tif|reginenses/REG_00108.tif|reginenses/REG_00109.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ssrd3vfj|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-gsmxbnkq";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-forapbhz|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ivsdfebq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-qpyshudm";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-pggyeffj";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-zdcg2u42|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-rbahbh2g|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-iyfbjxvj";2988507;"Biblia"
"REG_00112";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"130V";"REG_00111|REG_00110";;;"rois 2";"reginenses/REG_00110.tif|reginenses/REG_00111.tif|reginenses/REG_00112.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ssrd3vfj";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sz7srifg|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ivsdfebq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-qpyshudm|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-brqtzl8a";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-uxs3dmvk|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-h5p48lfk";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-twan8yy3";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-mfmemdkq";2988507;"Biblia"
"REG_00115";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"143R";"REG_00114|REG_00113";;;"rois";"reginenses/REG_00113.tif|reginenses/REG_00114.tif|reginenses/REG_00115.tif";;;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sz7srifg";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-oz9n8wse|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-uxs3dmvk|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-mpfiuvul";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-kgksjk9x";2988507;"Biblia"
"REG_00118";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"158V";"REG_00117|REG_00116";;;"rois";"reginenses/REG_00116.tif|reginenses/REG_00117.tif|reginenses/REG_00118.tif";;;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-tvxtxobh|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sz7srifg";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ff8dyvd5|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-uxs3dmvk";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-xp8bg6f5|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-8oejwaxu";2988507;"Biblia"
"REG_00121";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal|Zoomorphe";"173V";"REG_00120|REG_00119";;;"chroniques 1";"reginenses/REG_00119.tif|reginenses/REG_00120.tif|reginenses/REG_00121.tif";;;;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ihcuiicr|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-lalynzrk|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-wndshtcr";;;2988507;"Biblia"
"REG_00123";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée";"187V";"REG_00122";;;"chroniques 2";"reginenses/REG_00122.tif|reginenses/REG_00123.tif";;;;;;;2988507;"Biblia"
"REG_00128";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"205V";"REG_00125|REG_00124|REG_00126|REG_00127";;;"esdras";"reginenses/REG_00124.tif|reginenses/REG_00125.tif|reginenses/REG_00126.tif|reginenses/REG_00127.tif|reginenses/REG_00128.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-tyd2j9uu";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sz7srifg|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-i94jpy9p|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-yjcvnnjh|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-5vghyucs";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-wdxn3qrx|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-uxs3dmvk|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-msrzrwxs|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-9unwq3m3|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-uwkrsp9n";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-p5nc55rk";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-2ujduhzq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ao9wtg4s|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-kdyvsq43|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-raszqepq";2988507;"Biblia"
"REG_00131";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"210R";"REG_00130|REG_00129";;;"esdras";"reginenses/REG_00129.tif|reginenses/REG_00130.tif|reginenses/REG_00131.tif";;;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sz7srifg|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-acpsxfaz";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-dzzguznf|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-uwkrsp9n|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-p6bpbd6j";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-kgksjk9x|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sbgpzwhn";2988507;"Biblia"
"REG_00134";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"216V";"REG_00133|REG_00132";;;"esdras";"reginenses/REG_00132.tif|reginenses/REG_00133.tif|reginenses/REG_00134.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-tyd2j9uu";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-bi28adap|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-o3w82xpy";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-mwdwtlky";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-wctkua6s|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-4mpugsew";2988507;"Biblia"
"REG_00137";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"224R";"REG_00136|REG_00135";;;"tobie";"reginenses/REG_00135.tif|reginenses/REG_00136.tif|reginenses/REG_00137.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-bqscor5q";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ourzz25h";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-wqg2nktt|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-tsrm4f3z|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-zhbujjvw";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ao9wtg4s|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-3axmqq3f";2988507;"Biblia"
"REG_00140";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"229R";"REG_00139|REG_00138";;;"judith";"reginenses/REG_00138.tif|reginenses/REG_00139.tif|reginenses/REG_00140.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ssrd3vfj";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ourzz25h|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ivsdfebq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-wyrjsgnx";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-fdjbbyqw|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sybtvdut";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-fc6zyvtw";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-aovfxbwf|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-iyfbjxvj";2988507;"Biblia"
"REG_00144";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"235V";"REG_00141|REG_00142";;;"esther";"reginenses/REG_00141.tif|reginenses/REG_00142.tif|reginenses/REG_00143.tif|reginenses/REG_00144.tif";;;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sz7srifg|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-acpsxfaz";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-3stc2xrs|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-pjnhi7s2|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-uwkrsp9n";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-iqecf9s7";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sbgpzwhn|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-iv4xh9vr";2988507;"Biblia"
"REG_00147";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"242V";"REG_00146|REG_00145";;;"job";"reginenses/REG_00145.tif|reginenses/REG_00146.tif|reginenses/REG_00147.tif";;;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-nnwxmemz";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-48fnf2gb|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-k3o2ufbc";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-fdf2svtk";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-43nkeriq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-pz7m22nl|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-katnycdu|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-w6ekmfzz";2988507;"Biblia"
"REG_00150";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"254R";"REG_00149|REG_00148";;;"psaumes";"reginenses/REG_00148.tif|reginenses/REG_00149.tif|reginenses/REG_00150.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-eqnskbnq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ssrd3vfj";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-snyihmxp|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-pmym9cry|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sz7srifg|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ivsdfebq|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-qpyshudm|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-z78apcet";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-oz9n8wse|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ebeeqdhh|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-trtnhhdd";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-gb9xzs44|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-zdcg2u42|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-iyfbjxvj";2988507;"Biblia"
"REG_00153";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"259R";"REG_00152|REG_00151";;;"ps.26";"reginenses/REG_00151.tif|reginenses/REG_00152.tif|reginenses/REG_00153.tif";;;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sz7srifg|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-acpsxfaz|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-qcxhde3e";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-oz9n8wse|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-x7vsyub2|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-trtnhhdd";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-zkxfxtrb";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-emjujykg";2988507;"Biblia"
"REG_00156";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"262R";"REG_00155|REG_00154";;;"ps.38";"reginenses/REG_00154.tif|reginenses/REG_00155.tif|reginenses/REG_00156.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-hvmbbgkw";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-sz7srifg";"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-oz9n8wse|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-msrzrwxs|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-trtnhhdd";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-ao9wtg4s|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-dntcjtgz";2988507;"Biblia"
